El(ft),Storage(acre-feet),Area(acres)
290.1,31681,954
290.2,31776,956
290.3,31872,958
290.4,31968,960
290.5,32064,962
290.6,32160,964
290.7,32257,966
290.8,32354,968
290.9,32451,970
291,32548,972
291.1,32645,974
291.2,32743,976
291.3,32840,978
291.4,32938,980
291.5,33036,982
291.6,33135,984
291.7,33233,986
291.8,33332,988
291.9,33431,990
292,33530,992
292.1,33629,994
292.2,33729,997
292.3,33829,999
292.4,33929,1001
292.5,34029,1004
292.6,34129,1006
292.7,34230,1008
292.8,34331,1011
292.9,34432,1013
293,34534,1015
293.1,34635,1018
293.2,34737,1020
293.3,34839,1022
293.4,34942,1025
293.5,35044,1027
293.6,35147,1029
293.7,35250,1032
293.8,35353,1034
293.9,35457,1036
294,35561,1039
294.1,35664,1041
294.2,35769,1043
294.3,35873,1046
294.4,35978,1048
294.5,36083,1050
294.6,36188,1053
294.7,36293,1055
294.8,36399,1057
294.9,36505,1059
295,36611,1062
295.1,36717,1064
295.2,36824,1067
295.3,36930,1069
295.4,37037,1072
295.5,37145,1074
295.6,37252,1076
295.7,37360,1079
295.8,37468,1081
295.9,37576,1084
296,37685,1086
296.1,37793,1089
296.2,37902,1091
296.3,38012,1094
296.4,38121,1096
296.5,38231,1099
296.6,38341,1101
296.7,38451,1103
296.8,38562,1106
296.9,38672,1108
297,38783,1111
297.1,38894,1113
297.2,39006,1116
297.3,39118,1118
297.4,39229,1121
297.5,39342,1123
297.6,39454,1125
297.7,39567,1128
297.8,39680,1130
297.9,39793,1133
298,39906,1135
298.1,40020,1138
298.2,40134,1140
298.3,40248,1143
298.4,40362,1145
298.5,40477,1147
298.6,40592,1150
298.7,40707,1152
298.8,40822,1155
298.9,40938,1157
299,41054,1160
299.1,41170,1162
299.2,41286,1165
299.3,41403,1167
299.4,41520,1170
299.5,41637,1172
299.6,41754,1174
299.7,41871,1177
299.8,41989,1179
299.9,42107,1182
300,42226,1184
300.1,42344,1187
300.2,42463,1189
300.3,42582,1192
300.4,42701,1194
300.5,42821,1197
300.6,42941,1199
300.7,43061,1201
300.8,43181,1204
300.9,43301,1206
301,43422,1209
301.1,43543,1211
301.2,43664,1214
301.3,43786,1216
301.4,43908,1219
301.5,44030,1221
301.6,44152,1223
301.7,44274,1226
301.8,44397,1228
301.9,44520,1231
302,44643,1233
302.1,44767,1236
302.2,44890,1238
302.3,45014,1240
302.4,45138,1243
302.5,45263,1245
302.6,45387,1247
302.7,45512,1250
302.8,45637,1252
302.9,45763,1254
303,45888,1257
303.1,46014,1259
303.2,46140,1262
303.3,46266,1264
303.4,46393,1266
303.5,46520,1269
303.6,46647,1271
303.7,46774,1273
303.8,46901,1276
303.9,47029,1278
304,47157,1280
304.1,47285,1283
304.2,47413,1285
304.3,47542,1287
304.4,47671,1290
304.5,47800,1292
304.6,47929,1294
304.7,48059,1294
304.8,48189,1299
304.9,48319,1301
305,48449,1304
305.1,48579,1306
305.2,48710,1309
305.3,48841,1311
305.4,48972,1313
305.5,49104,1316
305.6,49235,1318
305.7,49367,1321
305.8,49500,1323
305.9,49632,1326
306,49765,1328
306.1,49898,1330
306.2,50031,1333
306.3,50164,1335
306.4,50298,1338
306.5,50432,1340
306.6,50566,1343
306.7,50700,1345
306.8,50835,1347
306.9,50970,1350
307,51105,1352
307.1,51240,1355
307.2,51376,1357
307.3,51512,1359
307.4,51648,1362
307.5,51784,1364
307.6,51921,1367
307.7,52057,1369
307.8,52194,1372
307.9,52332,1374
308,52469,1376
308.1,52607,1379
308.2,52745,1381
308.3,52883,1384
308.4,53022,1386
308.5,53160,1389
308.6,53299,1391
308.7,53439,1394
308.8,53578,1396
308.9,53718,1399
309,53858,1401
309.1,53998,1403
309.2,54139,1406
309.3,54279,1408
309.4,54420,1411
309.5,54561,1413
309.6,54703,1416
309.7,54845,1418
309.8,54987,1421
309.9,55129,1423
310,55271,1426
310.1,55414,1428
310.2,55557,1431
310.3,55700,1433
310.4,55843,1435
310.5,55987,1438
310.6,56131,1440
310.7,56275,1443
310.8,56420,1445
310.9,56564,1448
311,56709,1450
311.1,56855,1453
311.2,57000,1455
311.3,57145,1458
311.4,57291,1460
311.5,57437,1463
311.6,57584,1466
311.7,57730,1468
311.8,57877,1471
311.9,58025,1473
312,58172,1476
312.1,58320,1478
312.2,58468,1481
312.3,58616,1484
312.4,58764,1486
312.5,58913,1489
312.6,59062,1491
312.7,59211,1494
312.8,59361,1496
312.9,59511,1499
313,59661,1501
313.1,59811,1504
313.2,59962,1507
313.3,60112,1509
313.4,60263,1512
313.5,60415,1514
313.6,60566,1517
313.7,60718,1519
313.8,60870,1522
313.9,61022,1525
314,61175,1527
314.1,61328,1530
314.2,61481,1532
314.3,61634,1535
314.4,61788,1538
314.5,61942,1540
314.6,62096,1543
314.7,62251,1546
314.8,62405,1548
314.9,62560,1551
315,62715,1554
315.1,62871,1557
315.2,63027,1559
315.3,63183,1562
315.4,63339,1565
315.5,63496,1567
315.6,63653,1570
315.7,63810,1573
315.8,63967,1575
315.9,64125,1578
316,64283,1581
316.1,64441,1583
316.2,64599,1586
316.3,64758,1589
316.4,64917,1591
316.5,65076,1594
316.6,65236,1597
316.7,65396,1599
316.8,65556,1602
316.9,65716,1605
317,65877,1607
317.1,66037,1610
317.2,66199,1613
317.3,66360,1616
317.4,66522,1618
317.5,66684,1621
317.6,66846,1624
317.7,67009,1627
317.8,67171,1630
317.9,67334,1632
318,67498,1635
318.1,67661,1638
318.2,67825,1641
318.3,67990,1643
318.4,68154,1646
318.5,68319,1649
318.6,68484,1652
318.7,68649,1655
318.8,68815,1657
318.9,68981,1660
319,69147,1663
319.1,69313,1666
319.2,69480,1668
319.3,69647,1671
319.4,69814,1674
319.5,69982,1677
319.6,70149,1679
319.7,70318,1682
319.8,70486,1685
319.9,70655,1688
320,70823,1691
320.1,70993,1694
320.2,71162,1696
320.3,71332,1699
320.4,71502,1702
320.5,71672,1705
320.6,71843,1708
320.7,72014,1711
320.8,72185,1714
320.9,72357,1717
321,72529,1720
321.1,72701,1723
321.2,72873,1726
321.3,73046,1729
321.4,73219,1731
321.5,73392,1734
321.6,73566,1737
321.7,73740,1740
321.8,73914,1743
321.9,74088,1746
322,74263,1749
322.1,74438,1752
322.2,74613,1755
322.3,74789,1758
322.4,74965,1761
322.5,75141,1764
322.6,75318,1767
322.7,75495,1769
322.8,75672,1772
322.9,75849,1775
323,76027,1778
323.1,76205,1781
323.2,76383,1785
323.3,76562,1788
323.4,76740,1791
323.5,76920,1794
323.6,77099,1797
323.7,77279,1800
323.8,77459,1803
323.9,77640,1807
324,77821,1810
324.1,78002,1813
324.2,78183,1816
324.3,78365,1819
324.4,78547,1822
324.5,78729,1825
324.6,78912,1829
324.7,79095,1832
324.8,79278,1835
324.9,79462,1838
325,79646,1841
325.1,79830,1844
325.2,80015,1847
325.3,80200,1851
325.4,80385,1854
325.5,80571,1857
325.6,80756,1860
325.7,80943,1863
325.8,81129,1866
325.9,81316,1870
326,81503,1873
326.1,81690,1876
326.2,81878,1880
326.3,82066,1883
326.4,82255,1887
326.5,82444,1890
326.6,82633,1894
326.7,82822,1897
326.8,83012,1900
326.9,83202,1904
327,83393,1907
327.1,83584,1911
327.2,83775,1914
327.3,83967,1918
327.4,84159,1921
327.5,84351,1925
327.6,84544,1928
327.7,84737,1932
327.8,84930,1935
327.9,85124,1939
328,85318,1942
328.1,85512,1946
328.2,85707,1949
328.3,85902,1952
328.4,86097,1956
328.5,86293,1959
328.6,86489,1963
328.7,86686,1966
328.8,86882,1970
328.9,87080,1973
329,87277,1977
329.1,87475,1980
329.2,87673,1984
329.3,87872,1988
329.4,88071,1992
329.5,88270,1996
329.6,88470,1999
329.7,88670,2003
329.8,88871,2007
329.9,89072,2011
330,89273,2015
330.1,89474,2018
330.2,89676,2022
330.3,89879,2026
330.4,90082,2030
330.5,90285,2034
330.6,90488,2037
330.7,90692,2041
330.8,90897,2045
330.9,91101,2049
331,91306,2053
331.1,91512,2056
331.2,91718,2060
331.3,91924,2064
331.4,92130,2068
331.5,92337,2072
331.6,92545,2075
331.7,92752,2079
331.8,92961,2083
331.9,93169,2087
332,93378,2090
332.1,93587,2095
332.2,93797,2099
332.3,94007,2103
332.4,94217,2107
332.5,94428,2112
332.6,94640,2116
332.7,94852,2120
332.8,95064,2124
332.9,95276,2128
333,95489,2132
333.1,95703,2137
333.2,95917,2141
333.3,96131,2145
333.4,96346,2149
333.5,96561,2153
333.6,96776,2158
333.7,96992,2162
333.8,97209,2166
333.9,97425,2170
334,97643,2174
334.1,97860,2178
334.2,98078,2183
334.3,98297,2187
334.4,98516,2191
334.5,98735,2195
334.6,98955,2199
334.7,99175,2203
334.8,99395,2208
334.9,99616,2212
335,99838,2216
335.1,100060,2220
